,Target Search,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Ago,Tweet Time
123,@CBSNews,0.2746,0.393,0.237,0.37,29,2018-09-28 22:54:01+00:00
124,@CBSNews,0.0,0.0,0.0,1.0,30,2018-09-28 22:53:56+00:00
125,@CBSNews,0.0,0.0,0.0,1.0,31,2018-09-28 22:53:56+00:00
126,@CBSNews,0.0,0.0,0.0,1.0,32,2018-09-28 22:53:55+00:00
127,@CBSNews,0.0,0.0,0.0,1.0,33,2018-09-28 22:53:55+00:00
128,@CBSNews,0.0,0.0,0.0,1.0,34,2018-09-28 22:53:54+00:00
129,@CBSNews,0.0,0.0,0.0,1.0,35,2018-09-28 22:53:54+00:00
130,@CBSNews,-0.0196,0.106,0.109,0.785,36,2018-09-28 22:53:53+00:00
131,@CBSNews,-0.5267,0.0,0.167,0.833,37,2018-09-28 22:53:52+00:00
132,@CBSNews,0.0,0.0,0.0,1.0,38,2018-09-28 22:53:48+00:00
133,@CBSNews,0.4019,0.094,0.0,0.906,39,2018-09-28 22:53:39+00:00
134,@CBSNews,0.7184,0.429,0.0,0.571,40,2018-09-28 22:53:37+00:00
135,@CBSNews,0.4404,0.153,0.0,0.847,41,2018-09-28 22:53:36+00:00
136,@CBSNews,0.0,0.0,0.0,1.0,42,2018-09-28 22:53:34+00:00
137,@CBSNews,0.5574,0.153,0.0,0.847,43,2018-09-28 22:53:32+00:00
138,@CBSNews,-0.5267,0.0,0.159,0.841,44,2018-09-28 22:53:32+00:00
139,@CBSNews,-0.7452,0.0,0.21,0.79,45,2018-09-28 22:53:30+00:00
140,@CBSNews,0.0,0.0,0.0,1.0,46,2018-09-28 22:53:29+00:00
141,@CBSNews,0.4404,0.293,0.0,0.707,47,2018-09-28 22:53:23+00:00
142,@CBSNews,-0.4588,0.119,0.246,0.636,48,2018-09-28 22:53:16+00:00
143,@CBSNews,0.4019,0.213,0.0,0.787,49,2018-09-28 22:53:14+00:00
144,@CBSNews,0.0,0.0,0.0,1.0,50,2018-09-28 22:53:07+00:00
145,@CBSNews,0.0772,0.244,0.182,0.574,51,2018-09-28 22:53:06+00:00
146,@CBSNews,0.0,0.0,0.0,1.0,52,2018-09-28 22:52:59+00:00
147,@CBSNews,-0.3802,0.0,0.206,0.794,53,2018-09-28 22:52:55+00:00
148,@CBSNews,0.0,0.0,0.0,1.0,54,2018-09-28 22:52:52+00:00
149,@CBSNews,0.0,0.0,0.0,1.0,55,2018-09-28 22:52:51+00:00
150,@CBSNews,-0.4939,0.095,0.179,0.725,56,2018-09-28 22:52:50+00:00
151,@CBSNews,0.0,0.0,0.0,1.0,57,2018-09-28 22:52:49+00:00
152,@CBSNews,0.3945,0.359,0.218,0.423,58,2018-09-28 22:52:44+00:00
153,@CBSNews,0.0,0.0,0.0,1.0,59,2018-09-28 22:52:40+00:00
154,@CBSNews,0.0,0.0,0.0,1.0,60,2018-09-28 22:52:38+00:00
155,@CBSNews,-0.4767,0.066,0.173,0.761,61,2018-09-28 22:52:37+00:00
156,@CBSNews,0.0,0.0,0.0,1.0,62,2018-09-28 22:52:35+00:00
157,@CBSNews,-0.34,0.089,0.152,0.759,63,2018-09-28 22:52:24+00:00
158,@CBSNews,0.0,0.0,0.0,1.0,64,2018-09-28 22:52:22+00:00
159,@CBSNews,0.0,0.0,0.0,1.0,65,2018-09-28 22:52:06+00:00
160,@CBSNews,0.0,0.0,0.0,1.0,66,2018-09-28 22:52:05+00:00
161,@CBSNews,0.6705,0.256,0.0,0.744,67,2018-09-28 22:52:04+00:00
162,@CBSNews,-0.1027,0.0,0.065,0.935,68,2018-09-28 22:52:04+00:00
163,@CBSNews,0.0,0.0,0.0,1.0,69,2018-09-28 22:52:04+00:00
164,@CBSNews,-0.4588,0.119,0.246,0.636,70,2018-09-28 22:52:00+00:00
165,@CBSNews,0.0,0.0,0.0,1.0,71,2018-09-28 22:51:46+00:00
166,@CBSNews,0.4215,0.483,0.0,0.517,72,2018-09-28 22:51:43+00:00
167,@CBSNews,0.5106,0.249,0.0,0.751,73,2018-09-28 22:51:42+00:00
168,@CBSNews,0.6996,0.293,0.0,0.707,74,2018-09-28 22:51:41+00:00
169,@CBSNews,0.0,0.0,0.0,1.0,75,2018-09-28 22:51:37+00:00
170,@CBSNews,0.3182,0.126,0.0,0.874,76,2018-09-28 22:51:36+00:00
171,@CBSNews,0.5106,0.249,0.0,0.751,77,2018-09-28 22:51:27+00:00
172,@CBSNews,0.3182,0.084,0.0,0.916,78,2018-09-28 22:51:23+00:00
173,@CBSNews,0.3612,0.091,0.0,0.909,79,2018-09-28 22:51:22+00:00
174,@CBSNews,0.0,0.0,0.0,1.0,80,2018-09-28 22:51:14+00:00
175,@CBSNews,0.0,0.0,0.0,1.0,81,2018-09-28 22:51:09+00:00
176,@CBSNews,0.7277,0.203,0.049,0.749,82,2018-09-28 22:51:06+00:00
177,@CBSNews,0.0,0.0,0.0,1.0,83,2018-09-28 22:51:04+00:00
178,@CBSNews,0.0,0.0,0.0,1.0,84,2018-09-28 22:51:03+00:00
179,@CBSNews,-0.5204,0.0,0.324,0.676,85,2018-09-28 22:51:01+00:00
180,@CBSNews,0.296,0.316,0.177,0.506,86,2018-09-28 22:50:56+00:00
181,@CBSNews,-0.8164,0.104,0.319,0.577,87,2018-09-28 22:50:55+00:00
182,@CBSNews,0.0258,0.091,0.0,0.909,88,2018-09-28 22:50:53+00:00
183,@CBSNews,0.3612,0.333,0.0,0.667,89,2018-09-28 22:50:51+00:00
184,@CBSNews,-0.6428,0.0,0.168,0.832,90,2018-09-28 22:50:42+00:00
185,@CBSNews,0.0,0.0,0.0,1.0,91,2018-09-28 22:50:42+00:00
186,@CBSNews,0.0,0.0,0.0,1.0,92,2018-09-28 22:50:41+00:00
187,@CBSNews,0.4404,0.182,0.0,0.818,93,2018-09-28 22:50:41+00:00
188,@CBSNews,0.7096,0.258,0.0,0.742,94,2018-09-28 22:50:39+00:00
189,@CBSNews,0.0,0.0,0.0,1.0,95,2018-09-28 22:50:35+00:00
190,@CBSNews,-0.2263,0.0,0.137,0.863,96,2018-09-28 22:50:31+00:00
191,@CBSNews,0.25,0.414,0.241,0.345,97,2018-09-28 22:50:27+00:00
192,@CBSNews,0.0,0.0,0.0,1.0,98,2018-09-28 22:50:26+00:00
193,@CBSNews,-0.6428,0.0,0.168,0.832,99,2018-09-28 22:50:26+00:00
194,@CBSNews,0.0258,0.084,0.0,0.916,100,2018-09-28 22:50:25+00:00
195,@CNN,-0.7003,0.0,0.744,0.256,1,2018-09-28 22:50:21+00:00
196,@CNN,-0.4588,0.0,0.1,0.9,2,2018-09-28 22:50:21+00:00
197,@CNN,-0.7003,0.051,0.225,0.725,3,2018-09-28 22:50:20+00:00
198,@CNN,-0.4588,0.0,0.1,0.9,4,2018-09-28 22:50:17+00:00
199,@CNN,0.25,0.099,0.062,0.839,5,2018-09-28 22:50:13+00:00
200,@CNN,0.0,0.0,0.0,1.0,6,2018-09-28 22:50:13+00:00
201,@CNN,0.0,0.0,0.0,1.0,7,2018-09-28 22:50:13+00:00
202,@CNN,0.0,0.0,0.0,1.0,8,2018-09-28 22:50:11+00:00
203,@CNN,0.0,0.0,0.0,1.0,9,2018-09-28 22:50:10+00:00
204,@CNN,0.25,0.099,0.062,0.839,10,2018-09-28 22:50:09+00:00
205,@CNN,-0.1027,0.14,0.163,0.698,11,2018-09-28 22:50:09+00:00
206,@CNN,-0.4019,0.0,0.252,0.748,12,2018-09-28 22:50:07+00:00
207,@CNN,-0.6597,0.0,0.197,0.803,13,2018-09-28 22:50:06+00:00
208,@CNN,-0.3016,0.112,0.168,0.72,14,2018-09-28 22:50:05+00:00
209,@CNN,0.0,0.0,0.0,1.0,15,2018-09-28 22:50:05+00:00
210,@CNN,0.0258,0.048,0.0,0.952,16,2018-09-28 22:50:05+00:00
211,@CNN,0.0,0.0,0.0,1.0,17,2018-09-28 22:50:04+00:00
212,@CNN,0.0,0.0,0.0,1.0,18,2018-09-28 22:50:03+00:00
213,@CNN,-0.4767,0.066,0.173,0.761,19,2018-09-28 22:50:03+00:00
214,@CNN,0.0,0.0,0.0,1.0,20,2018-09-28 22:50:02+00:00
215,@CNN,0.2944,0.103,0.0,0.897,21,2018-09-28 22:50:01+00:00
216,@CNN,0.0,0.0,0.0,1.0,22,2018-09-28 22:50:00+00:00
217,@CNN,-0.1779,0.118,0.147,0.735,23,2018-09-28 22:49:58+00:00
218,@CNN,0.7003,0.367,0.0,0.633,24,2018-09-28 22:49:57+00:00
219,@CNN,0.0,0.0,0.0,1.0,25,2018-09-28 22:49:56+00:00
220,@CNN,0.25,0.099,0.062,0.839,26,2018-09-28 22:49:55+00:00
221,@CNN,-0.7712,0.0,0.268,0.732,27,2018-09-28 22:49:53+00:00
222,@CNN,0.296,0.155,0.0,0.845,28,2018-09-28 22:49:52+00:00
223,@CNN,-0.1027,0.107,0.121,0.772,29,2018-09-28 22:49:52+00:00
224,@CNN,0.0,0.0,0.0,1.0,30,2018-09-28 22:49:51+00:00
225,@CNN,-0.7003,0.051,0.225,0.725,31,2018-09-28 22:49:51+00:00
226,@CNN,0.0,0.0,0.0,1.0,32,2018-09-28 22:49:51+00:00
227,@CNN,0.25,0.099,0.062,0.839,33,2018-09-28 22:49:50+00:00
